name;eva
Berlin-Adlershof;8089052
Berlin-Altglienicke;8089054
Berlin-Biesdorf;8089055
Berlin-Blankenburg;8089056
Berlin-Buch;8089057
Berlin-Charlottenburg;8010403
Berlin-Friedenau;8089058
Berlin-Friedrichsfelde Ost;8089059
Berlin-Friedrichshagen;8089060
Berlin-Frohnau;8089061
Berlin-Grunewald;8089062
Berlin-Grünau;8089063
Berlin-Halensee;8089109
Berlin-Heiligensee;8089025
Berlin-Hermsdorf;8089064
Berlin-Hirschgarten;8089065
Berlin-Hohenschönhausen;8011901
Berlin-Karlshorst;8010035
Berlin-Karow;8011046
Berlin-Kaulsdorf;8089068
Berlin-Köpenick;8089069
Berlin-Lankwitz;8089114
Berlin-Lichtenberg;8010036
Berlin-Lichtenrade;8089070
Berlin-Lichterfelde Ost;8011041
Berlin-Lichterfelde Ost (S);8089113
Berlin-Lichterfelde Süd;8089472
Berlin-Lichterfelde West;8089071
Berlin-Mahlsdorf;8011343
Berlin-Mahlsdorf (S);8089072
Berlin-Marienfelde;8089074
Berlin-Marzahn;8089075
Berlin-Neukölln;8089077
Berlin-Nikolassee;8089078
Berlin-Oberspree;8089079
Berlin-Pankow;8089080
Berlin-Pankow-Heinersdorf;8089081
Berlin-Pichelsberg;8089331
Berlin-Rahnsdorf;8089082
Berlin-Rummelsburg;8089084
Berlin-Schlachtensee;8089085
Berlin-Schulzendorf;8089000
Berlin-Schöneberg;8089474
Berlin-Schönefeld Flughafen SEV Schönefeld;130081
Berlin-Schöneweide;8010041
Berlin-Schöneweide;8089168
Berlin-Schönholz;8089087
Berlin-Spandau;8010404
Berlin-Spandau (S);8089083
Berlin-Spindlersfeld;8089088
Berlin-Staaken;8013021
Berlin-Stresow;8089053
Berlin-Tegel (S);8089089
Berlin-Tempelhof;8089090
Berlin-Tiergarten;8089091
Berlin-Waidmannslust;8089092
Berlin-Wartenberg;8089093
Berlin-Wedding;8089131
Berlin-Wilhelmshagen;8089094
Berlin-Wilhelmsruh;8089095
Berlin-Wittenau (Wilhelmsruher Damm);8089096
Berlin-Wuhlheide;8089097
Berlin-Zehlendorf;8089098
Berliner Platz Hochheim am Main;405193
Berliner Str Hohen Neuendorf;733693
Berliner Straße Böblingen;555689
Berliner Tor Hamburg;694996
Berlingen URh;8506159
Bermatingen-Ahausen;8000909
Bernau (b Berlin);8013470
Bernau Bahnhofsplatz (ggü alte Post);8079708
Bernau am Chiemsee;8000911
Bernau-Friedenstal;8089099
Bernburg;8010043
Bernburg-Friedenshall;8011168
Bernburg-Roschwitz;8011605
Bernburg-Strenzfeld;8011169
Bernburg-Waldau;8011170
Berne;8000913
Bernhausen Bahnhof Filderstadt;562223
Bernlappstraße Freiburg im Breisgau;808125
Bernried;8000918
Bernsbachplatz Chemnitz;982263
Bernterode;8011172
Bersenbrück;8000919
Berthelsdorf (Erzgeb);8010044
Berthelsdorf (Erzgebirge) Ort;8017219
Berthelsdorf Bahnhof Weißenborn/Erzgeb;980344
Berthelsdorf Bahnübergang Weißenborn/Erzgeb;980346
Bertolt-Brecht-Straße Rostock;939552
Bertsdorf;8010045
Berufsschule Wörth am Rhein;510748
Berufsschulzentrum Geislingen an der Steige;810193
Berzhahn;8000921
Berzhahn Ortsmitte;8071529
Besch;8000923
Besigheim;8000925
Besseringen;8000926
Bestenheid Bahnhof Glashütte Wertheim;422554
Bestensee;8011173
Bestwig;8000927
Betriebshof Hohenstücken Brandenburg an der Havel;737304
Bettmannsäge;8000928
Betzdorf (Sieg);8000034
Betzingen Bahnhof Reutlingen;750229
Betzingen Bahnhof Wendeplatte Reutlingen;376861
Betzingen Hoffmannstraße Reutlingen;750235
Betzingen Mitte Reutlingen;374435
Beucha;8010046
Beucha Bahnhof (Bus) Brandis;960404
Beuchow;8013539
Beuel Bahnhof Bonn;441834
Beuggen;8000932
Beuggen Bahnhof Rheinfelden (Baden);502059
Beuna (Geiseltal);8011177
Beuna (Geiseltal) Bahnhof (Bus) Merseburg;962435
Beuren;8011178
Beuren Mitte Leinefelde-Worbis;860838
Beuron;8000933
Beutelsbach;8000934
Beutelsbach Bahnhof Weinstadt;366381
Beutersitz;8011179
Beutersitz Bahnhof/Berliner Str Uebigau-Wahrenbr;741600
Beutersitz Bahnhof/Wildgruber Str Uebigau-Wahren;727664
Beutersitz Bahnhof/Wildgruber Straße;8079710
Bexbach;8000941
Beyendorf;8011181
Bibelöd;8000946
Bibelöd Ruhpolding;378842
Biberach (Baden);8000942
Biberach (Riß);8000943
Biberach (Riß) Süd;8000944
Biblis;8000503
Bibra;8011183
Bichl;8000945
Bichtlingen;8077777
Bickenbach (Bergstr);8000948
Bieber Bieber Waldhof Offenbach am Main;100039
Bieber S-Bahn-Station Offenbach am Main;100424
Biebesheim;8000951
Biebrich Bahnhof Wiesbaden;111131
Biebrich Bahnhof Wiesbaden Ost Wiesbaden;106906
Biedenkopf;8000952
Biedenkopf-Schulzentrum;8000954
Biederitz;8010047
Biehla Bahnhof Elsterwerda;741347
Bielefeld Hbf;8000036
Bielefeld Ost;8000953
Bielefeld-Quelle Albertstraße;8076133
Bielefeld-Senne;8000956
Biendorf;8011184
Bienenbüttel;8000955
Bienenmühle;8011185
Bienenmühle Bahnhof Rechenberg-Bienenmühle;202007
Bierbach;8000357
Bieren Bahnhof Rödinghausen;928174
Bieren-Rödinghausen;8000957
Bieringen (b Horb);8000959
Biersdorf (Westerw);8007076
Biersdorf-Ort (Ww);8007113
Biesenrode;8011187
Biesenrode (Bus) Mansfeld;955596
Biesenthal;8011188
Biessenhofen;8000962
Bietigheim (Baden);8000963
Bietigheim (Baden) Bahnhof;724095
Bietigheim Bahnhof Bietigheim-Bissingen;371400
Bietigheim Ellental Bietigheim-Bissingen;555282
Bietigheim Ellentalgymnasien Bietigheim-Bissingen;555211
Bietigheim-Bissingen;8000038
Bietingen;8000965
Bigge;8000966
Bigge Bahnhof Olsberg;901021
Bilderstöckchen Geldernstr/Parkgürtel Köln;441298
Bildstock;8000967
Bilfingen;8000968
Bilk S-Bahnhof Düsseldorf;218249
Bilk S-Bahnhof/Elisabethstraße Düsseldorf;653674
Billenhausen;8000969
Billerbeck;8000970
Bimbach Am Sägewerk Großenlüder;120400
Binau;8000973
Bindfelde;8011190
Bindlach;8000974
Bingen (Rhein) Hbf;8000039
Bingen (Rhein) KD;8075968
Bingen (Rhein) Stadt;8000976
Bingen-Gaulsheim;8000975
Bingerbrück Bingen Hauptbahnhof Bingen am Rhein;406509
Binolen;8000978
Binsfeld;8071257
Binz LB;8011193
Binzen;8070323
Birach;8007102
Birkelbach;8000983
Birkelbach Bahnhof L720 Erndtebrück;414944
Birkenau;8000984
Birkenbringhausen;8000985
Birkenbringhausen Behringerstr Burgwald;713344
Birkenfeld (Enz);8000986
Birkengrund;8080170
Birkengrund Am Birkengrund;8071940
Birkengrund Bahnhof Ludwigsfelde;727104
Birkenmoor;8017003
Birkenstein;8070002
Birkenweg Nordhausen;248183
Birkenweg Sassnitz;952488
Birkenwerder (b Berlin);8080190
Birkenwerder Hauptstraße;8079415
Birkesdorf Im großen Tal (Bus) Düren;267949
Birkungen;8010048
Birkwitz Fährstelle Pirna;973532
Birresborn;8000989
Bischheim-Gersdorf;8011199
Bischofswerda;8010049
Bischofswiesen;8000997
Bischweier;8000998
Bisingen;8000999
Bissendorf;8001000
Bissendorf Bahnhof Wedemark;638277
Bissierstraße Freiburg im Breisgau;808072
Bitburg;8001001
Bitburg-Erdorf;8001828
Bittelbronn;8001002
Bittelbronn Bahnübergang Horb am Neckar;815066
Bitterfeld;8010050
Bitterfeld Bahnhof (Bus) Bitterfeld-Wolfen;956369
Bitterfeld Busbahnhof;8071740
Bitzfeld;8001005
Bitzfeld Bahnhof Bretzfeld;219601
Blaibach (Oberpf);8001003
Blaichach (Allgäu);8001004
Blanke Bahnhof Nordhorn;373813
Blankenbach;8007282
Blankenberg (Meckl);8010051
Blankenberg (Sieg);8001006
Blankenburg (Harz);8013439
Blankenese (Fähre) Hamburg;692612
Blankenese (Schiffsanleger) Hamburg;895798
Blankenfelde (S);8089186
Blankenfelde (Teltow-Fläming);8010053
Blankenfelde Moselstraße/Karl-Marx-Straße;8071820
Blankenfelde Mozartweg;8079711
Blankenheim (Sangerhausen);8010054
Blankenheim (Wald);8001008
Blankenheim Ort;8071349
Blankenloch;8001009
Blankenloch Bahnhof Stutensee;720324
Blankenloch Kirche Stutensee;370031
Blankenloch Mühlenweg Stutensee;362776
Blankenloch Nord Stutensee;132033
Blankenloch Süd Stutensee;720338
Blankenloch Tolna-Platz Stutensee;721228
Blankensee (Meckl);8011205
Blankenstein (Saale);8011206
Blaubeuren;8001013
Blaufelden;8001014
Blaustein;8001015
Blechhammer (Bushaltestelle) Sonneberg;210019
Blechhammer (Thür);8011208
Bleckede;8070329
Bleibach;8001017
Bleibach Bahnhof Gutach im Breisgau;500137
Bleiche Bad Herrenalb;720099
Bleichenbach (Oberh);8001018
Bleicherode Ost;8010055
Bleicherode Ost Bahnhof;248022
Blens;8007827
Blexen Fähranleger Nordenham;614535
Blieskastel-Lautzkirchen;8001027
Blindheim;8001028
Blumberg (b Berlin);8011211
Blumberg Bahnhof Ahrensfelde-Blumberg;738887
Blumberg-Rehhahn;8011064
Blumberg-Riedöschingen;8001029
Blumberg-Zollhaus;8006669
Blumenau;8011212
Blumenau Bahnhof Olbernhau;981472
Blumenberg;8010056
Blumenhagen;8011213
Blumenkamp;8001030
Blumenrath Montanstr/Poststraße Alsdorf (Rheinla;267070
Blumenthal (Mark);8011214
Blumenthal Fähranleger Bremen;376314
Blönsdorf;8011210
Blönsdorf Bahnhof Niedergörsdorf;736302
Bobenheim;8001032
Bobenheim Bahnhof Bobenheim-Roxheim;505600
Bobingen;8001033
Bobitz;8011215
Bobitz Schule;8079712
Bobstadt;8001034
Bocholt;8000040
Bochum Hbf;8000041
Bochum Hbf (Buddenbergplatz);8070979
Bochum West;8006711
Bochum-Dahlhausen;8001038
Bochum-Ehrenfeld;8001039
Bochum-Hamme;8006710
Bochum-Langendreer;8000358
Bochum-Langendreer West;8004474
Bochum-Riemke;8001035
Bockenheim-Kindenheim;8001043
Bockenheimer Warte Frankfurt a M;101201
Bockhorst Güstrow;935602
Bockum-Hövel;8001045
Bockum-Hövel Bahnhof Hamm (Westf);906894
Bodelsberg;8001046
Bodelsberg Bahnhof Sulzberg;965935
Bodelshausen;8001047
Bodenburg;8001048
Bodenburg Bahnhof Bad Salzdetfurth;635420
Bodenfelde;8001050
Bodenheim;8000359
Bodenmais;8001051
Bodenrode;8011219
Bodensee-Airport Friedrichshafen;494607
Bodenwöhr Nord;8001054
Bodenwöhr Nord Bahnhof;785139
Bodetal/Talstation Kabinenseilbahn Thale;366756
Bodetal/Talstation Sessellift Thale;376757
Bogen;8001069
Bohmte;8001071
Boisheim;8001072
Boisheim Bahnhof Viersen;663726
Boizenburg (Elbe);8011230
Bokholt;8007067
Boltersen;8070645
Boltersen Bahnhof Rullstorf;613895
Bondorf (b Herrenberg);8001080
Bonn Bertha-von-Suttner-Platz;8070195
Bonn Brühler Straße;8070741
Bonn Bundesrechnungshof/Auswärtiges Amt;8070738
Bonn Flughafen Terminal 1 Köln;443495
Bonn Hbf;8000044
Bonn Hbf (tief);8098044
Bonn Helmholtzstraße;8001081
Bonn Heussallee/Museumsmeile;8070026
Bonn Hochkreuz/Deutsches Museum Bonn;8070757
Bonn Juridicum;8070196
Bonn KD;8075941
Bonn Konrad-Adenauer-Platz;8070075
Bonn Max-Löbner-Straße/Friesdorf;8070758
Bonn Museum Koenig;8070739
Bonn Obere Wilhelmstraße;8070746
Bonn Robert-Schuman-Platz;8070759
Bonn Stadthaus;8070107
Bonn UN Campus;8001091
Bonn Universität/Markt;8070769
Bonn West;441936
Bonn-Bad Godesberg;8001082
Bonn-Bad Godesberg Bahnhof;8071082
Bonn-Bad Godesberg KD;8075942
Bonn-Bad Godesberg Plittersdorfer Straße;8070756
Bonn-Bad Godesberg Stadthalle;8070231
Bonn-Beuel;8001083
Bonn-Beuel Bahnhof;8071083
Bonn-Beuel Rathaus;8070745
Bonn-Duisdorf;8001084
Bonn-Endenich Nord;8001088
Bonn-Gronau Deutsche Telekom / Ollenhauerstraße;8070743
Bonn-Gronau Deutsche Telekom /Olof-Palme-Allee;8070742
Bonn-Hochkreuz Rheinaue;8070744
Bonn-Limperich;8070752
Bonn-Limperich Küdinghoven;8070751
Bonn-Limperich Nord;8070771
Bonn-Mehlem;8001085
Bonn-Oberkassel;8001086
Bonn-Oberkassel Mitte;8070754
Bonn-Oberkassel Nord;8070753
Bonn-Oberkassel Süd/Römlinghoven;8070028
Bonn-Plittersdorf Wurzerstraße;8070755
Bonn-Ramersdorf;8070027
Bonn-Ramersdorf Schießbergweg;8070772
Bonn-Vilich;8070750
Bonn-Vilich-Müldorf;8070749
Bonn-Vilich-Rheindorf Adelheidisstraße;8070748
Bookholzberg;8001089
Bookholzberg Bahnhof Ganderkesee;602407
Boomgarden Fahrenkrug;701273
Boostedt;8007061
Bopfingen;8001090
Boppard Hbf;8000045
Boppard KD;8075957
Boppard Süd;8000324
Boppard-Bad Salzig;8000742
Boppard-Buchholz;8001235
Boppard-Fleckertshöhe;8002004
Boppard-Hirzenach;8002861
Borbeck Bahnhof Essen (Ruhr);109158
Borbeck Süd Bahnhof Essen (Ruhr);360159
Bordesholm;8001092
Boren-Lindaunis Schleibrücke Nord;8075385
Borgeln;8001093
Borgeln Bahnhof Welver;901153
Borgeln Hattropholser Str Welver;901157
Borgholzhausen;8001095
Borghorst Bahnhof Steinfurt;907958
Borgsdorf;8080200
Borgsdorf Berliner Chaussee;8073526
Bork (Westf);8001097
Borken (Hess);8001098
Borken (Westf);8000346
Borkheide;8011238
Borkum (Nordseebad);8007764
Borkum Flugplatz;8007784
Borkum Reede;8079115
Born (Darß) Waldschänke;8081534
Borna (Leipzig);8011242
Borsdorf (Hess);8001104
Borsdorf (Sachs);8010059
Bosserode Bahnhof Wildeck;996961
Bottrop Hbf;8000047
Bottrop-Boy;8001107
Bottrop-Vonderort;8001108
Bous (Saar);8001110
Boxberg-Wölchingen;8001111
Boy Bahnhof Bottrop;657667
Brachbach;8001112
Brachbach Bahnhof/Industriestraße Mudersbach;416027
Brachelen;8001113
Brachelen Unterführung Hückelhoven;268038
Brackel S-Bahnhof Dortmund;651935
Brackel S-Bahnhof Westfälische Straße Dortmund;658818
Brackwede;8000048
Brackwede Bahnhof Bielefeld;105059
Brackwede Bahnhof/Eisenbahnstraße Bielefeld;110576
Braderup (Wenningstedt);8084100
Brahlstorf;8011248
Brake (Unterweser);8001120
Brake (b Bielefeld);8001118
Brake Bahnhof Bielefeld;923027
Brake Lüttfeld Lemgo;378397
Brakel (Höxter);8001121
Bramsche;8001122
Bramstedt (b Syke);8001123
Brand (Niederlausitz);8011250
Brand Tropical Islands Bahnhof Halbe;736595
Brandenburg Altstadt;8011252
Brandenburg Betriebshof Hohenstücken;8079627
Brandenburg Hbf;8010060
Brandenburgplatz Berlin;733400
Brandoberndorf;8001126
Brandoberndorf Bahnhof Waldsolms;121766
Brandstätt;8001128
Brannenburg;8001129
Braubach;8001130
Braubach KD;8075956
Braunsbedra;8011255
Braunsbedra Ost;8011256
Braunschweig Hbf;8000049
Braunschweig-Gliesmarode;8001134
Braunsdorf Bahnhof Braunsdorf-Lichtenwalde Nieder;980662
Braunsdorf-Lichtenwalde;8011257
Breddin;8011258
Bredelar;8001137
Bredelar Bahnhof Marsberg;901250
Bredenbek;8001136
Bredstedt;8001139
Bredstedt Bahnhof;8071139
Brehna;8011260
Brehna Markt;8071739
Brehna Markt Sandersdorf-Brehna;959912
Breinig;8079063
Breisach;8001143
Breisgaustr/S-Bahnhof Karlsruher Str Leipzig;964133
Breitbrunn Schiffsanleger Herrsching a Ammersee;620370
Breitenbrunn (Erzg);8011263
Breitenbrunn (Schwab);8001147
Breitendiel;8001148
Breitendorf;8011264
Breitengüßbach;8001149
Breitengüßbach Ortsmitte;8071027
Breitscheidt (Altenkirchen Ww);8001153
Breitungen (Werra);8011265
Breitwiese Sontra;715270
Bremen Hbf;8000050
Bremen Kreinsloger;8007896
Bremen Mühlenstraße;8007895
Bremen Neustadt;8001155
Bremen Turnerstraße;8007897
Bremen-Aumund;8007892
Bremen-Blumenthal;8007894
Bremen-Burg;8001156
Bremen-Farge;8007898
Bremen-Hemelingen;8001157
Bremen-Lesum;8001159
Bremen-Mahndorf;8001160
Bremen-Oberneuland;8001161
Bremen-Oslebshausen;8001162
Bremen-Schönebeck;8001163
Bremen-Sebaldsbrück;8001164
Bremen-St Magnus;8001165
Bremen-Vegesack;8001166
Bremen-Walle;8001167
Bremerhaven Fischereihafen;8070215
Bremerhaven Flugplatz;8070176
Bremerhaven Hbf;8000051
Bremerhaven Seebäderkaje;8070030
Bremerhaven-Lehe;8001168
Bremerhaven-Wulsdorf;8001170
Bremervörde;8007800
Bremthal Bahnhof Eppstein;111503
Brenk;8071651
Brennet Bahnhof Nord Wehr (Baden);421433
Breslauer Platz Berlin;731687
Breslauer Platz/Hauptbahnhof Köln;444919
Brest-Aspe;8007841
Breternitz;8011267
Bretleben;8010061
Bretten;8000053
Bretten Kupferhälde;8070093
Bretten Rechberg;8001138
Bretten Schulzentrum;8001144
Bretten Stadtmitte;8001152
Bretten Wannenweg;8079060
Bretten-Ruit;8001131
Brettorf;8001176
Bretzenheim (Nahe);8001177
Bretzfeld;8001178
Breyell;8001180
Brieselang;8013472
Briesen (Mark);8011269
Brigachtal Kirchdorf;8003339
Brigachtal Klengen;8003336
Brillit;8071333
Brillit Bahnhof Gnarrenburg;604983
Brilon Stadt;8001182
Brilon Wald;8000054
Brilon Wald Bahnhof;712800
Britz;8010064
Brocken;8017004
Brockhöfe;8001185
Brockhöfe Abzw Bahnhof Wriedel;317353
Brodenbach KD;8075980
Broderstorf;8011270
Brohl;8001186
Brohl (Brohltalbahn);8070338
Brohl Bahnhof Brohl-Lützing;454072
Brohl Schweppenburg Brohl-Lützing;454983
Broistedt Bahnhof Lengede;885923
Brokstedt;8001190
Brombach Bahnhof Brombach/Hauingen Lörrach;502274
Bruchenbrücken;8001196
Bruchenbrücken Bahnhof Friedberg (Hessen);106499
Bruchenbrücken Mitte Friedberg (Hessen);101874
Bruchhausen (b Ettlingen);8001198
Bruchhausen-Vilsen;8070340
Bruchköbel;8001199
Bruchmühlbach-Miesau;8001200
Bruchmühlen;8001201
Bruchmühlen Bahnhof Melle;608920
Bruchsal;8000055
Bruchsal Bildungszentrum;8001197
Bruchsal Schlachthof;8070009
Bruchsal Schloßgarten;8085001
Bruchsal Sportzentrum;8001212
Bruchsal Stegwiesen;8085002
Bruchsal Tunnelstraße;8070008
Bruchsal am Mantel;8001214
Bruchweiler;8079080
Bruck Bahnhof Erlangen;676123
Bruckberg;8001203
Brucken;8001205
Bruckmühl;8001207
Bruckwiesen Bubenreuth;368364
Brunau-Packebusch;8011277
Brunau-Packebusch Bahnhof (Bus) Kalbe (Milde);366714
Brunnen (Oberbay);8001265
Bruno-Bürgel-Weg Berlin;733563
Bräunlingen Bahnhof;8001119
Bräunlingen Industriegebiet;8070999
Bräustüberl (Schiff) Tegernsee;966960
Brötzingen Mitte;8004799
Brötzingen Sandweg;8070274
Brötzingen Wohnlichstraße;8070275
Brötzingen Wohnlichstraße Pforzheim;425107
Brück (Mark);8011271
Brück Bahnhof (Bus) Nideggen;267955
Brücke Gutach im Breisgau;500164
Brücke Walsleben b Neuruppin;726338
Brückenstr/Freie Presse Chemnitz;982250
Brügge (Prign);8011273
Brügge (Westf);8001213
Brügge Bahnhof Halenbeck Rohlsdorf;737433
Brügge Bahnhof Lüdenscheid;879535
Brühl;8001215
Brühl (Rheinland) Mitte;442283
Bubach;8001221
Bubendey-Ufer (Fähre) Hamburg;371017
Bubendey-Ufer Hamburg;693416
Bubenheim;8071229
Bubenreuth;8001223
Buch Schiffsanleger Inning a Ammersee;620389
Buchbrunn-Mainstockheim;8001225
Buchbrunn-Mainstockheim (SEV);8071313
Buchen (Odenw);8001227
Buchen Ost;8001226
Buchenau (Lahn);8001228
Buchenau (Lahn) Bahnhof Dautphetal;111091
Buchenau (Oberbay);8001229
Buchenau Fürstenfeldbruck;624353
Buchenbach Bahnhof Himmelreich (Westseite) Kirchza;500168
Buchenhain;8001231
Buchenhorst;8011281
Buchenweg Agathenburg;372206
Bucher Chaussee/Achillesstr Berlin;732941
Buchforst S-Bahn Köln;446745
Buchholz (Baden);8001234
Buchholz (Hunsr) Bahnhof Boppard;455607
Buchholz (Nordheide);8000056
Buchholz (Zauche);8011282
Buchholz Bahnhof/Bundesstr Boppard;455606
Buchholz Feuerwehr Beelitz (Mark);735716
Buchholz Kirche Waldkirch;500145
Buchholz S-Bahnhof Duisburg;652716
Buchloe;8000057
Buchschlag Bahnhof Dreieich;102702
Buchwäldchen Ortsmitte Luckaitztal;741091
Buckow (Beeskow);8011284
Buddenhagen;8011286
Buddenhagen (Bus) Wolgast;332455
Budenheim;8001237
Buer Nord Bahnhof Gelsenkirchen;206673
Buer Süd Bahnhof Gelsenkirchen;375159
Buer Südbahnhof Gelsenkirchen;655125
Bufleben;8010067
Bufleben Bahnhof Nessetal;646462
Buggingen;8001262
Buir;8001264
Buir Bahnhof Kerpen (Rheinland);446699
Buldern;8001266
Buldern Bahnhof Dülmen;901382
Bullay (DB);8001267
Buna Werke;8013473
Bundenthal-Rumbach;8079087
Bunsenstraße Ettlingen;720758
Burbach (Kr Siegen);8001268
Burbach (Kr Siegen) Post;8071145
Burbach Mitte;8001302
Burg (Dillkr) Nord;8001271
Burg (Dithm);8001273
Burg (Magdeburg);8011294
Burg Bahnhof Fehmarn;699527
Burg Stargard (Meckl);8011293
Burg- und Nieder-Gemünden;8000061
Burg-und Nieder Gemünden Bahnhof Gemünden (Felda);111187
Burgau (Schwab);8001276
Burgbernheim;8001277
Burgbernheim-Wildbad;8001278
Burgbrohl;8070342
Burgdorf;8001279
Burgfarrnbach Regelsbacher Straße Fürth (Bayern);676317
Burggaillenreuth;8070343
Burghaun (Hünfeld);8001283
Burghausen (Oberbay);8001284
Burgheim;8001285
Burgholzhausen Rodheimer Straße Friedrichsdorf;103254
Burgholzhausen vor der Höhe;8001287
Burgkemnitz;8011296
Burgkemnitz S-Bahnhof (Bus) Muldestausee;957691
Burgkirchen;8001288
Burgkunstadt;8001289
Burglauer;8001290
Burgsinn;8001293
Burgsolms Bahnhof Solms;120890
Burgstall (M) Bahnhof Burgstetten;407500
Burgstall (Murr);8001296
Burgsteinfurt Bahnhof Steinfurt;901433
Burgstädt;8011297
Burgthann;8001297
Burgwedel (Bus) Hamburg;692442
Burgweiler;8001281
Burgweinting Bahnhof Nord Regensburg;370339
Burgweinting Bahnhof Süd Regensburg;785693
Burhafe (Ostfriesl);8001301
Burhafe (Ostfriesl) Bahnhof Wittmund;607407
Burkhardswalde Bahnhof Müglitztal;973600
Burkhardswalde Talstraße (Bf) Müglitztal;973602
Burkhardswalde-Maxen;8011298
Burkhardtsdorf;8011299
Burkhardtsdorf Mitte;8011303
Burkheim-Bischoffingen;8007289
Burkheim-Bischoffingen Bahnhof Bahnhof Vogtsburg;379674
Burladingen;8007226
Burladingen West;8070022
Burow;332628
Bus Grabow;369013
Busch Bahnhof (Bus) Alsdorf (Rheinland);268084
Buschmühle;8011301
Buschow;8011302
Buschow Bahnhof Märkisch Luch;728555
Buschow Dorf;8084093
Busenbach;8007000
Busenbach Bahnhof Waldbronn;723551
Busenberg-Schindhard;8079118
Bushaltestelle Rechtenstein;800999
Bushaltstelle Etzbach;286300
Bustreff Bahnhof Lippstadt;904277
Buswendeplatz Barbelroth;505420
Buttenheim;8001310
Buttenheim Bahnhof Altendorf (Kreis Bamberg);464466
Buttstädt;8011304
Butzbach;8001312
Buxtehude;8001315
Bärenhecke Bahnhof Glashütte;978397
Bärenhecke-Johnsbach;8011091
Bärenklau;8011093
Bärenklau Bahnhof Oberkrämer;734234
Bärenklau Wendemarker Weg;8079714
Bärenlauchstr Berlin;733425
Bärenstein (Annaberg);8011094
Bärenstein (b Glashütte Sachs);8011095
Bärenstein Bahnhof Altenberg;301865
Bärental Ortsmitte Feldberg (Schwarzwald);503153
Bärnsdorf;8011096
Bäumenheim;8000778
Bäumenheim Bahnhalt Asbach-Bäumenheim;783611
Böbig Neustadt an der Weinstraße;518429
Böbingen (Rems);8005979
Böblingen;8001055
Böblingen Danziger Str;8085005
Böblingen Heusteigstr;8085007
Böblingen Südbf;8085006
Böblingen Zimmerschlag;8085008
Böbrach;8070667
Böckingen Sonnenbrunnen;8070159
Böckingen Sonnenbrunnen West Heilbronn;275010
Böckingen West;8070158
Bödigheim;8001056
Böhl Bahnhof Nordseite Böhl-Iggelheim;505766
Böhl Bahnhof Südseite Böhl-Iggelheim;505767
Böhl-Iggelheim;8001057
Böhlen (Leipzig);8013471
Böhlen Bahnhof (Bus);8071945
Böhlen Werke;8011222
Böhmhof;8001058
Böhringen Bahnhof Radolfzell am Bodensee;503508
Böhringen-Rickelshausen;8001059
Bölzke;8011225
Bölzke Bahnhof Pritzwalk;737422
Bönen;8001061
Bönningstedt;8007047
Börnecke (Harz);8011226
Börßum;8001063
Bösdorf (Sachs-Anh);8011228
Bösensell;8001065
Bösensell Bahnhof Senden (Westf);904415
Bösperde;8001066
Bösperde Bahnhof Menden (Sauerland);879509
Bötzingen;8007296
Bötzingen Mühle;8007297
Bövinghausen Bahnhof Dortmund;651965
Bübingen;8001238
Bübingen Bahnhof Saarbrücken;839428
Büchen;8000058
Büchenbach;8001242
Büches-Düdelsheim;8001244
Büchig Stutensee;362372
Büchsenstraße Stuttgart;373069
Bückeburg;8001245
Bücklestraße Konstanz;504080
Büdesheim Nachtweide Schöneck (Hessen);126716
Büdingen (Oberhess);8001250
Büdingen (Westerw);8001249
Bühl (Baden);8001252
Bülzig;8011290
Bülzig Kindergarten;8071192
Bülzig Kindergarten Zahna-Elster;953530
Bünde (Westf);8000059
Bürgeln;8001256
Bürgerhaus Kriftel;102103
Bürstadt;8098360
Büsenbachtal;8001258
Büsingen;8079011
Büsingen (Fähre);8079838
Büsum;8001259
Büsum (Hafen);8071259
Büttgen;8001261
Büttgen S-Bahnhof Kaarst;587038
Bützow;8010066
CITTI-Park Kiel;692003
Cadenberge;8001316
Cadolzburg;8001317
Cainsdorf;8011305
Calau (Nl);8010069
Calbe (Saale) Ost;8010070
Calbe (Saale) Stadt;8011323
Calbe (Saale) West;8010071
Calberlah;8001318
Caldern;8001319
Caldern Bahnhof Lahntal;111092
Caldern Bahnhof/B62 Lahntal;119814
Calmbach Bahnhof;8001320
Calmbach Bahnhof Bad Wildbad;828354
Calmbach Birkenhof/Bahnhof Bad Wildbad;828193
Calmbach Parkanlage Bad Wildbad;828198
Calmbach Süd;8070280
Calmbach Taubenäckersiedlung Bad Wildbad;720545
Calw;8000063
Camburg (Saale);8013474
Cammin (Meckl);8011307
Cammin Bahnhof Burg Stargard;332150
Capelle (Westf);8001323
Capelle Bahnhof Nordkirchen;901534
Capelle Dorf Nordkirchen;901536
Cappel Öhringen;370546
Caputh Schule;8081754
Caputh Schwielowsee;8012957
Caputh Schwielowsee Bahnhof Schwielowsee;735486
Caputh-Geltow;8011308
Carl-Petersen-Straße Hamburg;694845
Carossastraße Bayerbach (Rott);366490
Casekow;8011311
Castrop-Rauxel Hbf;8001327
Castrop-Rauxel Süd;8001328
Castrop-Rauxel-Merklinde;8001329
Castroper Str/Mengede Bahnhof Dortmund;371296
Celle;8000064
Ceska Kubice;5400123
Cham (Oberpf);8001330
Chamerau;8001331
Charlottenhof Bahnhof Potsdam;736091
Charlottenhof Bahnhof/Geschw-Scholl-Str Potsdam;365013
